Aalwynsfontein,Northern Cape,
Aan de Doorns,Western Cape,
Aberdeen,Eastern Cape,
Aberfeldy,Free State,
Abbotsdale,Western Cape,
Acornhoek,Mpumalanga,
Adelaide,Eastern Cape,
Adendorp,Eastern Cape,
Addo,Eastern Cape,
Afguns,Limpopo,
Aggeneys,Northern Cape,
Agulhas,Western Cape,
Ahrens,KwaZulu-Natal,
Akasia,Gauteng,
Albertinia,Western Cape,
Alberton,Gauteng,
Albertshoek,North West,
Alderley,Eastern Cape,
Aldinville,KwaZulu-Natal,
Alexander Bay,Northern Cape,
Alexandria,Eastern Cape,
Alexandra,Gauteng,
Alettasrus,North West,
Alice,Eastern Cape,
Alicedale,Eastern Cape,
Aliwal North,Eastern Cape,
Allandale,Free State,
Allanridge,Free State,
Alldays,Limpopo,
Allep,Free State,
Alpha,KwaZulu-Natal,
Amalia,North West,
Amalienstein,Western Cape,
Amanzimtoti,KwaZulu-Natal,
Amersfoort,Mpumalanga,
Amsterdam,Mpumalanga,
Anerley,KwaZulu-Natal,
Andriesvale,Northern Cape,
Arlington,Free State,
Arniston,Western Cape,
Ashton,Western Cape,
Askham,Northern Cape,
Atlantis,Western Cape,
Atteridgeville,Gauteng,
Augrabies,Northern Cape,
Aurora,Western Cape,
Baardskeerdersbos,Western Cape,
Babelegi,North West,
Babanango,KwaZulu-Natal,
Badplaas,Mpumalanga,
Bailey,Eastern Cape,
Bakerville,North West,
Balfour,Mpumalanga,
Balfour,Eastern Cape,
Balgowan,KwaZulu-Natal,
Ballengeich,KwaZulu-Natal,
Ballito,KwaZulu-Natal,
Balmoral,Mpumalanga,
Baltimore,Limpopo,
Banana Beach,KwaZulu-Natal,
Bandelierkop,Limpopo,
Bandur,Limpopo,
Ban ,Gauteng,
Bankkop,Mpumalanga,
Bapsfontein,Gauteng,
Barakke,Eastern Cape,
Barberspan,North West,
Barberton,Mpumalanga,
Barkly East,Eastern Cape,
Barkly West,Northern Cape,
Baroda,Eastern Cape,
Baroe,Eastern Cape,
Barrington,Western Cape,
Barrydale,Western Cape,
Bathurst,Eastern Cape,
Baviaan,Western Cape,
Bayala,KwaZulu-Natal,
Bazley,KwaZulu-Natal,
Beaufort West,Western Cape,
Beauty,Limpopo,
Bedford,Eastern Cape,
Beestekraal,North West,
Behulpsaam,Eastern Cape,
Beitbridge,Limpopo,
Bekker,Northern Cape,
Bela-Bela,Limpopo,Warmbaths
Belfast,Mpumalanga,
Bell,Eastern Cape,
Bellevue,Eastern Cape,
Bellville,Western Cape,
Belmont,Northern Cape,
Bendigo,KwaZulu-Natal,
Benoni,Gauteng,
Berbice,Mpumalanga,
Berea,Western Cape,
Bergplaas,Western Cape,
Bergrivier,Western Cape,
Bergville,KwaZulu-Natal,
Berlin,Eastern Cape,
Bermolli,Northern Cape,
Besters,KwaZulu-Natal,
Bethal,Mpumalanga,
Bethanie,North West,
Bethelsdorp,Eastern Cape,
Bethlehem,Free State,
Bethulie,Free State,
Bettiesdam,Mpumalanga,
Betty's Bay,Western Cape ,Bettys Bay
Bewley,North West,
Biesiesfontein,Western Cape,
Biesiespoort,Northern Cape,
Biesiesvlei,North West,
Biggarsberg,KwaZulu-Natal,
Bhisho,Eastern Cape,
Bitterfontein,Western Cape,
Bityi,Eastern Cape,
Bloemfontein,Free State,
Bloemhof,North West,
Boipatong,Gauteng,
Boksburg,Gauteng,
Bonnievale,Western Cape,
Bonza Bay,Eastern Cape,
Bophelong,Gauteng,
Bosbokrand,Mpumalanga,
Boshof,Free State,
Boston,KwaZulu-Natal,
Bothaville,Free State,
Botshabelo,Free State,
Brakpan,Gauteng,
Brandfort,Free State,
Braunschweig,Eastern Cape,
Bray,North West,
Bredasdorp,Western Cape,
Breyten,Mpumalanga,
Brits,North West,
Britstown,Northern Cape,
Broederstroom,North West,
Bronkhorstspruit,Gauteng,
Buffelsjagbaai,Western Cape,
Bultfontein,Free State,
Bulwer,KwaZulu-Natal,
Burgersdorp,Eastern Cape,
Burgersfort,Limpopo,
Boompie Alleen,Free State,
Butterworth,Eastern Cape, Gcuwa
Cala,Eastern Cape,
Caledon,Western Cape,
Calitzdorp,Western Cape,
Calvert,KwaZulu-Natal,
Calvinia,Northern Cape,
Cambria,Eastern Cape,
Campbell,Northern Cape,
Camperdown,KwaZulu-Natal,
Camps Bay,Western Cape,
Candover,KwaZulu-Natal,
Cannon Rocks,Eastern Cape,
